"EVAL_GRP","FORTYPCD","COUNTYCD","VOLCFNET"
12000,407,3,53804.0721874184
12000,516,3,4262325.55400321
12000,519,3,115162.654922578
12000,520,3,4554438.56179003
12000,602,3,506711.221649695
12000,608,3,1269956.66017261
12000,702,3,1190824.79130692
12000,704,3,NA
12000,706,3,NA
12000,999,3,312057.903915885
12000,161,5,20777412.5125882
12000,404,5,2495903.23078992
12000,503,5,1682423.48542971
12000,507,5,NA
12000,520,5,17618583.4734129
12000,608,5,2478495.22161209
12000,141,7,7665636.96847913
12000,161,7,16588539.068062
12000,162,7,2185223.34359404
12000,406,7,210159.800889359
12000,501,7,6379465.06346969
12000,503,7,1301091.58982033
12000,504,7,5783106.12686581
12000,520,7,5450671.89401065
12000,161,9,15164826.9091922
12000,406,9,871432.044832719
12000,501,9,9762890.09023572
12000,503,9,2698884.55954262
12000,508,9,10413518.7101019
12000,515,9,3312224.5143217
12000,516,9,NA
12000,520,9,NA
12000,161,11,13813857.2032564
12000,162,11,19685629.982508
12000,406,11,NA
12000,507,11,535935.640187001
12000,508,11,3936707.06377652
12000,517,11,NA
12000,519,11,663490.379426881
12000,520,11,11130951.3389935
12000,161,13,57016764.1052748
12000,406,13,6232593.66659983
12000,507,13,NA
12000,508,13,9488769.95772154
12000,511,13,2790420.5549585
12000,517,13,NA
12000,520,13,13604547.8650255
12000,602,13,1779289.51950159
12000,161,15,2584776.86191795
12000,163,15,120962.735730892
12000,404,15,2762861.20665597
12000,406,15,15444385.4068869
12000,501,15,3117745.14460454
12000,502,15,1889166.02252428
12000,503,15,1215028.47765027
12000,508,15,4040947.19501005
12000,516,15,133115.72062574
12000,520,15,627763.91847757
12000,601,15,NA
12000,161,17,91194423.3803821
12000,162,17,5341660.56552087
12000,406,17,9237250.6705699
12000,503,17,8123664.99963418
12000,506,17,298326.54303196
12000,507,17,NA
12000,508,17,4741597.17845381
12000,516,17,158154.936414145
12000,520,17,7788612.49425586
12000,602,17,NA
12000,161,19,NA
12000,162,19,51638.4509274827
12000,406,19,NA
12000,501,19,138555.049366706
12000,502,19,NA
12000,504,19,1532767.77283139
12000,506,19,16726685.3743142
12000,508,19,NA
12000,519,19,53674.8480048068
12000,520,19,336580.42698426
12000,601,19,4486025.98998
12000,161,21,821709.285841493
12000,163,21,NA
12000,403,21,36363.7711415231
12000,406,21,NA
12000,501,21,3066704.70582802
12000,506,21,NA
12000,508,21,3678166.63760317
12000,516,21,1007024.26672224
12000,520,21,10411706.3102685
12000,161,23,116182200.952414
12000,406,23,22661071.2275629
12000,508,23,8922142.6003265
12000,516,23,87686.1198058903
12000,520,23,17550377.4044208
12000,602,23,26830268.5651843
12000,142,25,265169.920583903
12000,161,25,166606083.610933
12000,403,25,7791474.25709163
12000,404,25,3770457.89586535
12000,406,25,22180106.2773129
12000,409,25,6769456.81121956
12000,508,25,2597855.70162293
12000,520,25,16984024.6494264
12000,602,25,9020132.97405764
12000,605,25,5456935.76906861
12000,607,25,NA
12000,608,25,631910.914836685
12000,141,27,12220469.4843666
12000,161,27,170622.454962498
12000,163,27,308782.656599112
12000,406,27,6839721.76770304
12000,503,27,6033065.11352612
12000,508,27,7437153.44899706
12000,515,27,1193441.12463756
12000,517,27,5555297.83436285
12000,520,27,2485881.64409062
12000,999,27,169147.558482907
12000,161,29,NA
12000,163,29,NA
12000,406,29,214293.386405635
12000,501,29,69778.9750150352
12000,503,29,226689.510239143
12000,506,29,6516076.0227015
12000,508,29,746529.215955262
12000,511,29,NA
12000,515,29,1801332.90302589
12000,519,29,2474290.72697013
12000,520,29,128122.49643489
12000,161,31,5688199.19981731
12000,162,31,1017366.742336
12000,406,31,8530081.46509707
12000,507,31,691394.352922819
12000,508,31,NA
12000,516,31,2325120.04188031
12000,520,31,8344112.39013024
12000,161,33,592729.088428119
12000,501,33,304815.016491662
12000,503,33,3343474.31672235
12000,506,33,NA
12000,508,33,1682353.09411146
12000,517,33,1678308.44693096
12000,161,35,20473606.7699126
12000,162,35,NA
12000,403,35,2686231.03323945
12000,406,35,175411.322465615
12000,507,35,326116.257119124
12000,520,35,13654825.0130285
12000,608,35,NA
12000,999,35,NA
12000,161,37,26880903.5638727
12000,406,37,12907604.9278802
12000,501,37,11049270.6574717
12000,503,37,4864654.40261634
12000,507,37,38927.8783467983
12000,508,37,150532.698046963
12000,516,37,337647.250322117
12000,520,37,2566947.46876704
12000,141,39,15795807.3325992
12000,142,39,24963594.1248478
12000,161,39,14893731.7479424
